day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
7,18,30.02,15.98,55.42,60,8.05546,NA,0,1030.6,10,2/7/2013 18:00
7,19,30.92,17.06,55.99,50,6.90468,NA,0,1030.7,10,2/7/2013 19:00
7,20,30.92,17.96,58.21,50,8.05546,NA,0,1030.1,10,2/7/2013 20:00
7,21,32,19.94,60.66,50,9.20624,NA,0,1029.6,10,2/7/2013 21:00
7,22,32,21.2,63.99,50,9.20624,NA,0,NA,10,2/7/2013 22:00
7,23,33.08,23,66.11,60,10.35702,NA,0,1027.4,10,2/7/2013 23:00
8,0,33.98,24.08,66.72,60,11.5078,NA,0,1026.4,10,2/8/2013 0:00
8,1,35.96,26.96,69.51,90,18.41248,NA,0,1025.6,10,2/8/2013 1:00
8,2,35.96,26.96,69.51,80,14.96014,24.16638,0,1024.6,10,2/8/2013 2:00
8,3,35.06,26.96,72.03,70,16.11092,NA,0,1023.3,10,2/8/2013 3:00
8,4,35.06,26.06,69.4,60,13.80936,NA,0,1022.3,10,2/8/2013 4:00
8,5,33.98,26.06,72.45,40,14.96014,NA,0,1021.6,10,2/8/2013 5:00
8,6,33.8,28.94,84.56,50,17.2617,NA,0.01,NA,2.5,2/8/2013 6:00
8,7,33.8,30.92,91.66,60,14.96014,NA,0.02,NA,2,2/8/2013 7:00
8,8,33.98,32,92.36,60,18.41248,NA,0.02,1018.7,3,2/8/2013 8:00
8,9,35.06,32,93.03,60,20.71404,NA,0.03,NA,6,2/8/2013 9:00
8,10,35.96,33.8,93.08,60,21.86482,NA,0.04,NA,7,2/8/2013 10:00
8,11,35.96,32,85.37,50,23.0156,29.92028,0.04,1013.2,6,2/8/2013 11:00
8,12,35.06,32,88.47,50,23.0156,28.7695,0.08,1010.5,5,2/8/2013 12:00
8,13,35.06,32,88.47,30,28.7695,39.12652,0.07,1008,7,2/8/2013 13:00
8,14,33.98,30.92,88.42,40,28.7695,36.82496,0.05,NA,7,2/8/2013 14:00
8,15,33.98,30.2,86.49,40,26.46794,35.67418,0.06,NA,7,2/8/2013 15:00
8,16,33.8,30.2,88.37,30,26.46794,32.22184,0.05,NA,6,2/8/2013 16:00
8,17,33.8,30.2,88.37,30,25.31716,34.5234,0.07,NA,3,2/8/2013 17:00
8,18,32,28.94,88.32,360,18.41248,29.92028,0.05,1003.2,3,2/8/2013 18:00
8,19,30.92,28.4,92.92,20,24.16638,33.37262,0.03,NA,3,2/8/2013 19:00
8,20,30.2,26.96,88.22,360,23.0156,37.97574,0.01,NA,3,2/8/2013 20:00
8,21,30.92,26.96,85.05,330,19.56326,29.92028,0,1004.1,3,2/8/2013 21:00
8,22,30.2,26.96,88.22,330,18.41248,NA,0.08,NA,0.5,2/8/2013 22:00
8,23,28.4,26.6,92.86,340,19.56326,NA,0.07,NA,0.5,2/8/2013 23:00
9,0,26.6,24.8,92.8,340,21.86482,NA,0.03,NA,0.5,2/9/2013 0:00
9,1,26.96,24.08,88.73,340,17.2617,NA,0.02,1008.2,0.5,2/9/2013 1:00
9,2,26.96,24.98,92.12,320,14.96014,NA,0.07,1008.4,0.5,2/9/2013 2:00
9,3,26.6,24.8,92.8,360,21.86482,28.7695,0.05,NA,0.5,2/9/2013 3:00
9,4,26.96,24.8,92.8,340,21.86482,NA,0.01,NA,3,2/9/2013 4:00
9,5,28.94,24.8,86.18,320,20.71404,NA,0,NA,10,2/9/2013 5:00
9,6,28.94,21.92,74.7,310,26.46794,32.22184,0,1010.8,10,2/9/2013 6:00
9,7,30.02,21.92,71.48,300,18.41248,26.46794,0,1011.9,10,2/9/2013 7:00
9,8,28.94,19.04,66.09,310,21.86482,34.5234,0,1012.8,10,2/9/2013 8:00
9,9,26.96,17.96,68.44,310,25.31716,34.5234,0,1013.9,10,2/9/2013 9:00
9,10,26.06,15.98,65.21,300,28.7695,34.5234,0,1015.3,10,2/9/2013 10:00
9,11,28.04,17.06,62.97,310,21.86482,32.22184,0,1015.8,10,2/9/2013 11:00
9,12,30.02,15.08,53.29,320,28.7695,36.82496,0,1016.1,10,2/9/2013 12:00
9,13,30.92,12.92,46.74,330,26.46794,34.5234,0,1016.9,10,2/9/2013 13:00
9,14,32,12.02,43,320,25.31716,31.07106,0,1017.8,10,2/9/2013 14:00
9,15,30.92,10.04,41.13,310,21.86482,33.37262,0,1018.4,10,2/9/2013 15:00
9,16,30.02,8.96,40.65,320,17.2617,NA,0,1019.8,10,2/9/2013 16:00
9,17,28.94,5,35.5,330,25.31716,31.07106,0,1021.4,10,2/9/2013 17:00
9,18,28.04,5,36.83,320,20.71404,26.46794,0,1022.7,10,2/9/2013 18:00
9,19,26.06,6.08,41.98,320,19.56326,NA,0,1023.5,10,2/9/2013 19:00
9,20,24.98,5,41.8,310,13.80936,NA,0,1025.1,10,2/9/2013 20:00
9,21,24.08,5,43.4,320,13.80936,NA,0,1026.3,10,2/9/2013 21:00
9,22,21.02,5,49.37,320,10.35702,NA,0,1026.7,10,2/9/2013 22:00
9,23,21.92,5,47.52,300,14.96014,NA,0,1027.5,10,2/9/2013 23:00
10,0,21.02,5,49.37,320,11.5078,NA,0,1027.7,10,2/10/2013 0:00
10,1,19.04,5,53.71,320,6.90468,NA,0,1028.3,10,2/10/2013 1:00
10,2,19.04,5,53.71,320,9.20624,NA,0,1028.8,10,2/10/2013 2:00
10,3,19.04,5,53.71,330,11.5078,NA,0,1028.7,10,2/10/2013 3:00
10,4,17.06,5,58.49,330,9.20624,NA,0,1029,10,2/10/2013 4:00
10,5,17.96,5,56.26,310,8.05546,NA,0,1029.9,10,2/10/2013 5:00
10,6,17.06,5,58.49,330,5.7539,NA,0,1030.5,10,2/10/2013 6:00
10,7,19.04,5,53.71,340,9.20624,NA,0,1030.9,10,2/10/2013 7:00
10,8,21.02,6.08,51.86,310,8.05546,NA,0,1032.1,10,2/10/2013 8:00
10,9,24.98,6.98,45.74,330,6.90468,NA,0,1032.5,10,2/10/2013 9:00
10,10,26.96,8.06,44.25,220,3.45234,NA,0,1032.9,10,2/10/2013 10:00
10,11,30.02,6.08,35.68,0,0,NA,0,1032.1,10,2/10/2013 11:00
10,12,33.08,6.98,32.85,0,0,NA,0,1030.9,10,2/10/2013 12:00
10,13,30.02,10.04,42.66,0,0,NA,0,1030.1,10,2/10/2013 13:00
10,14,30.92,14,49.01,220,3.45234,NA,0,1030.4,10,2/10/2013 14:00
10,15,30.02,19.04,63.24,200,6.90468,NA,0,1029.7,10,2/10/2013 15:00
10,16,28.94,19.04,66.09,190,4.60312,NA,0,1029.2,10,2/10/2013 16:00
10,17,30.02,17.06,58.08,190,4.60312,NA,0,1029.5,10,2/10/2013 17:00
10,18,28.04,15.98,60.1,180,3.45234,NA,0,1029.5,10,2/10/2013 18:00
10,19,28.94,17.96,63.1,200,3.45234,NA,0,1029.6,10,2/10/2013 19:00
10,20,30.02,21.02,68.81,0,0,NA,0,1029.1,10,2/10/2013 20:00
10,21,30.92,24.98,78.35,200,8.05546,NA,0,1028.9,10,2/10/2013 21:00
10,22,33.08,28.04,81.5,200,6.90468,NA,0,1028.1,10,2/10/2013 22:00
10,23,33.98,28.94,81.57,200,8.05546,NA,0,1027.8,10,2/10/2013 23:00
11,0,35.96,28.94,75.39,180,9.20624,NA,0,1027,10,2/11/2013 0:00
11,1,35.96,26.06,66.97,190,9.20624,NA,0,1026.5,10,2/11/2013 1:00
11,2,37.04,28.94,72.24,160,5.7539,NA,0,1024.9,10,2/11/2013 2:00
11,3,37.94,32,78.96,150,9.20624,NA,0,1023.9,10,2/11/2013 3:00
11,4,37.94,33.08,82.46,150,4.60312,NA,0,1023.2,10,2/11/2013 4:00
11,5,37.94,35.06,89.25,140,5.7539,NA,0,1021.8,10,2/11/2013 5:00
11,6,39.2,35.96,88.66,170,11.5078,NA,0.07,NA,5,2/11/2013 6:00
11,7,39.02,37.04,92.53,130,10.35702,NA,0.05,1018.7,5,2/11/2013 7:00
11,8,41,39.2,93.24,130,14.96014,NA,0.1,NA,5,2/11/2013 8:00
11,9,42.8,41,95.9,240,12.65858,NA,0.13,NA,1.75,2/11/2013 9:00
11,10,42.98,42.8,100,200,20.71404,NA,0.07,NA,3,2/11/2013 10:00
11,11,42.8,42.8,100,220,18.41248,NA,0.01,NA,1,2/11/2013 11:00
11,12,42.08,42.08,100,270,5.7539,NA,0.01,1011.6,0.06,2/11/2013 12:00
11,13,42.8,42.8,100,220,4.60312,NA,0,NA,0.75,2/11/2013 13:00
11,14,42.8,42.8,100,220,4.60312,NA,0.01,NA,0.75,2/11/2013 14:00
11,15,42.8,39.92,95.9,130,4.60312,NA,0,NA,0.12,2/11/2013 15:00
11,16,42.08,41,95.92,0,0,NA,0,1006.8,0.12,2/11/2013 16:00
11,17,42.8,41,95.9,0,0,NA,0,NA,0.12,2/11/2013 17:00
11,18,42.8,41,95.92,80,3.45234,NA,0.01,NA,0.12,2/11/2013 18:00
11,19,42.8,42.8,100,30,3.45234,NA,0,NA,0.12,2/11/2013 19:00
11,20,42.8,42.8,100,250,3.45234,NA,0,NA,0.12,2/11/2013 20:00
11,21,44.6,42.98,95.95,270,5.7539,NA,0,NA,0.12,2/11/2013 21:00
11,22,44.6,42.98,95.95,300,11.5078,NA,0,NA,7,2/11/2013 22:00
11,23,44.6,42.8,93.35,300,13.80936,NA,0,NA,10,2/11/2013 23:00
12,0,42.08,37.04,82.17,280,4.60312,NA,0,1007.1,10,2/12/2013 0:00
12,1,39.02,35.96,88.66,250,10.35702,NA,0,1007.3,7,2/12/2013 1:00
12,2,41,28.94,61.89,280,17.2617,24.16638,0,1007.7,10,2/12/2013 2:00
12,3,41,26.06,54.97,290,16.11092,26.46794,0,1008.5,10,2/12/2013 3:00
12,4,39.92,24.98,54.81,280,12.65858,21.86482,0,1009,10,2/12/2013 4:00
12,5,39.02,26.96,61.63,260,12.65858,NA,0,1009.2,10,2/12/2013 5:00
12,6,39.92,24.98,54.81,280,16.11092,23.0156,0,1010,10,2/12/2013 6:00
12,7,39.92,26.06,57.33,270,19.56326,NA,0,1010.9,10,2/12/2013 7:00
12,8,42.08,24.08,48.56,280,20.71404,27.61872,0,1011.6,10,2/12/2013 8:00
12,9,42.08,24.98,50.42,270,17.2617,26.46794,0,1011.8,10,2/12/2013 9:00
12,10,42.98,24.08,46.91,280,17.2617,23.0156,0,1012.3,10,2/12/2013 10:00
12,11,44.06,24.98,46.73,280,14.96014,26.46794,0,1012.4,10,2/12/2013 11:00
12,12,44.06,24.98,46.73,280,17.2617,NA,0,1012.4,10,2/12/2013 12:00
12,13,44.96,24.08,43.49,280,14.96014,26.46794,0,1012.2,10,2/12/2013 13:00
12,14,46.94,24.08,40.35,310,16.11092,NA,0,1011.9,10,2/12/2013 14:00
12,15,44.96,23,41.56,290,16.11092,NA,0,1011.7,10,2/12/2013 15:00
12,16,42.08,23,46.41,270,16.11092,19.56326,0,1011.1,10,2/12/2013 16:00
12,17,41,24.08,50.63,260,14.96014,25.31716,0,1013.7,10,2/12/2013 17:00
12,18,41,24.08,50.63,270,14.96014,NA,0,1014.8,10,2/12/2013 18:00
12,19,39.92,23,50.46,280,11.5078,NA,0,1015.1,10,2/12/2013 19:00
12,20,39.02,21.92,49.93,290,12.65858,NA,0,1014.1,10,2/12/2013 20:00
12,21,37.94,21.92,52.09,300,12.65858,NA,0,1013.3,10,2/12/2013 21:00
12,22,37.94,21.92,52.09,290,9.20624,NA,0,1013.4,10,2/12/2013 22:00
12,23,37.04,21.92,53.97,280,9.20624,NA,0,1014,10,2/12/2013 23:00
13,0,35.06,24.08,63.91,260,8.05546,NA,0,1014.2,10,2/13/2013 0:00
13,1,30.92,23,72.12,240,8.05546,NA,0,1014.8,10,2/13/2013 1:00
13,2,30.02,24.08,78.27,240,8.05546,NA,0,1014.6,10,2/13/2013 2:00
13,3,32,24.98,75,300,9.20624,NA,0,1013.9,10,2/13/2013 3:00
13,4,30.92,24.08,75.46,340,10.35702,NA,0,1012.9,10,2/13/2013 4:00
13,5,30.92,21.02,66.34,0,0,NA,0,1013.6,10,2/13/2013 5:00
13,6,32,23,69.04,0,0,NA,0,1013.3,10,2/13/2013 6:00
13,7,33.98,26.96,75.2,0,0,NA,0,1013.5,10,2/13/2013 7:00
13,8,37.94,23,54.51,30,5.7539,NA,0,1012.6,10,2/13/2013 8:00
13,9,39.92,19.94,44.33,0,0,NA,0,1012.3,10,2/13/2013 9:00
13,10,39.02,21.92,49.93,190,10.35702,NA,0,1012.9,10,2/13/2013 10:00
13,11,39.02,21.02,48.07,210,4.60312,NA,0,1012.1,10,2/13/2013 11:00
13,12,39.92,23,50.46,220,4.60312,NA,0,1010.7,10,2/13/2013 12:00
13,13,42.08,23,46.41,0,0,NA,0,1008.4,10,2/13/2013 13:00
13,14,39.02,24.98,56.77,180,8.05546,NA,0,1008.8,10,2/13/2013 14:00
